,cell_ontology_class,cell_ontology_id,tissue,free_annotation,id,term,other_ids,other_terms
248,endothelial cell,,Limb_Muscle,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
249,endothelial cell,CL:0000115,Limb_Muscle,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
250,endothelial cell,,GAT,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
251,endothelial cell,CL:0000115,BAT,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
252,endothelial cell,CL:0000594,Limb_Muscle,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
253,endothelial cell,CL:0000115,Brain_Non-Myeloid,Endothelial cell,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
254,endothelial cell,CL:0008011,Diaphragm,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
255,endothelial cell,CL:0000134,Diaphragm,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
256,endothelial cell,CL:0000115,Diaphragm,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
257,endothelial cell,CL:0000540,Brain_Non-Myeloid,Endothelial cell,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
258,endothelial cell,,Trachea,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
259,endothelial cell,,Pancreas,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
260,endothelial cell,,Diaphragm,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
261,endothelial cell,CL:0000738,Thymus,endothelial cell,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
262,endothelial cell,,Limb_Muscle,new-cluster,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
263,endothelial cell,CL:0000115,Mammary_Gland,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
264,endothelial cell,,Brain_Non-Myeloid,Endothelial cell,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
265,endothelial cell,CL:0000738,Pancreas,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
266,endothelial cell,CL:0000115,MAT,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
267,endothelial cell,CL:0000115,SCAT,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
268,endothelial cell,CL:0000115,GAT,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
269,endothelial cell,CL:0000115,Pancreas,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
270,endothelial cell,CL:0000646,Mammary_Gland,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
271,endothelial cell,,SCAT,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
272,endothelial cell,CL:0002410,Pancreas,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
273,endothelial cell,,Mammary_Gland,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
274,endothelial cell,,Thymus,endothelial cell,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
275,endothelial cell,,Brain_Non-Myeloid,new-cluster,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
276,endothelial cell of coronary artery,,Heart,coronary vascular endothelial cell,CL:2000018,endothelial cell of coronary artery,,
277,endothelial cell of coronary artery,CL:0002350,Heart,coronary vascular endothelial cell,CL:2000018,endothelial cell of coronary artery,,
278,endothelial cell of coronary artery,CL:0000115,Heart,coronary vascular endothelial cell,CL:2000018,endothelial cell of coronary artery,,
279,endothelial cell of coronary artery,CL:0000057,Heart,coronary vascular endothelial cell,CL:2000018,endothelial cell of coronary artery,,
280,endothelial cell of coronary artery,CL:0000738,Heart,coronary vascular endothelial cell,CL:2000018,endothelial cell of coronary artery,,
281,endothelial cell of hepatic sinusoid,CL:0000091,Liver,,CL:1000398,endothelial cell of hepatic sinusoid,CL:0019021;CL:0019022,endothelial cell of periportal hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid
282,endothelial cell of hepatic sinusoid,CL:0000182,Liver,,CL:1000398,endothelial cell of hepatic sinusoid,CL:0019021;CL:0019022,endothelial cell of periportal hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid
283,endothelial cell of hepatic sinusoid,,Liver,endothelial cell of hepatic sinusoid,CL:1000398,endothelial cell of hepatic sinusoid,CL:0019021;CL:0019022,endothelial cell of periportal hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid
284,endothelial cell of hepatic sinusoid,CL:1000398,Liver,endothelial cell of hepatic sinusoid,CL:1000398,endothelial cell of hepatic sinusoid,CL:0019021;CL:0019022,endothelial cell of periportal hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid
285,endothelial cell of hepatic sinusoid,CL:1000398,Liver,,CL:1000398,endothelial cell of hepatic sinusoid,CL:0019021;CL:0019022,endothelial cell of periportal hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid
286,endothelial cell of hepatic sinusoid,,Liver,,CL:1000398,endothelial cell of hepatic sinusoid,CL:0019021;CL:0019022,endothelial cell of periportal hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid
287,endothelial cell of lymphatic vessel,,Lung,Lympatic,CL:0002138,endothelial cell of lymphatic vessel,,
288,endothelial cell of lymphatic vessel,CL:1001567,Lung,Lympatic,CL:0002138,endothelial cell of lymphatic vessel,,
289,endothelial cell of lymphatic vessel,,Lung,Lymphatic Cell,CL:0002138,endothelial cell of lymphatic vessel,,
290,enterocyte of epithelium of large intestine,,Large_Intestine,Enterocyte (Proximal),CL:0002071,enterocyte of epithelium of large intestine,CL:1000346,vacuolar absorptive cell of epithelium proper of large intestine
291,enterocyte of epithelium of large intestine,CL:1000320,Large_Intestine,,CL:0002071,enterocyte of epithelium of large intestine,CL:1000346,vacuolar absorptive cell of epithelium proper of large intestine
292,enterocyte of epithelium of large intestine,CL:0002071,Large_Intestine,,CL:0002071,enterocyte of epithelium of large intestine,CL:1000346,vacuolar absorptive cell of epithelium proper of large intestine
293,enterocyte of epithelium of large intestine,CL:0002253,Large_Intestine,,CL:0002071,enterocyte of epithelium of large intestine,CL:1000346,vacuolar absorptive cell of epithelium proper of large intestine
294,enterocyte of epithelium of large intestine,CL:0002253,Large_Intestine,Enterocyte (Proximal),CL:0002071,enterocyte of epithelium of large intestine,CL:1000346,vacuolar absorptive cell of epithelium proper of large intestine
295,enterocyte of epithelium of large intestine,CL:0002071,Large_Intestine,Enterocyte (Proximal),CL:0002071,enterocyte of epithelium of large intestine,CL:1000346,vacuolar absorptive cell of epithelium proper of large intestine
296,enterocyte of epithelium of large intestine,,Large_Intestine,,CL:0002071,enterocyte of epithelium of large intestine,CL:1000346,vacuolar absorptive cell of epithelium proper of large intestine
297,enteroendocrine cell,CL:0000164,Large_Intestine,,CL:0000164,enteroendocrine cell,CL:0002278;CL:0000696;CL:0000577;CL:0002277;CL:0000502;CL:0000508;CL:0002280;CL:0002067;CL:0002500,GIP cell;PP cell;type EC enteroendocrine cell;type I enteroendocrine cell;type D enteroendocrine cell;type G enteroendocrine cell;type N enteroendocrine cell;type A enteroendocrine cell;P enteroendocrine cell
298,enteroendocrine cell,,Large_Intestine,,CL:0000164,enteroendocrine cell,CL:0002278;CL:0000696;CL:0000577;CL:0002277;CL:0000502;CL:0000508;CL:0002280;CL:0002067;CL:0002500,GIP cell;PP cell;type EC enteroendocrine cell;type I enteroendocrine cell;type D enteroendocrine cell;type G enteroendocrine cell;type N enteroendocrine cell;type A enteroendocrine cell;P enteroendocrine cell
299,enteroendocrine cell,CL:0002071,Large_Intestine,,CL:0000164,enteroendocrine cell,CL:0002278;CL:0000696;CL:0000577;CL:0002277;CL:0000502;CL:0000508;CL:0002280;CL:0002067;CL:0002500,GIP cell;PP cell;type EC enteroendocrine cell;type I enteroendocrine cell;type D enteroendocrine cell;type G enteroendocrine cell;type N enteroendocrine cell;type A enteroendocrine cell;P enteroendocrine cell
300,enteroendocrine cell,CL:0002253,Large_Intestine,,CL:0000164,enteroendocrine cell,CL:0002278;CL:0000696;CL:0000577;CL:0002277;CL:0000502;CL:0000508;CL:0002280;CL:0002067;CL:0002500,GIP cell;PP cell;type EC enteroendocrine cell;type I enteroendocrine cell;type D enteroendocrine cell;type G enteroendocrine cell;type N enteroendocrine cell;type A enteroendocrine cell;P enteroendocrine cell
301,ependymal cell,CL:0000644,Brain_Non-Myeloid,Ependyma,CL:0000065,ependymal cell,CL:0000683,ependymoglial cell
302,ependymal cell,CL:0000127,Brain_Non-Myeloid,Ependyma,CL:0000065,ependymal cell,CL:0000683,ependymoglial cell
303,ependymal cell,,Brain_Non-Myeloid,Ependyma,CL:0000065,ependymal cell,CL:0000683,ependymoglial cell
304,epidermal cell,CL:0002337,Skin,,CL:0000362,epidermal cell,CL:0000463;CL:1000428;CL:0002457;CL:0007018;CL:0007019;CL:0000916,epidermal cell (sensu arthropoda);stem cell of epidermis;epidermal Langerhans cell;epidermal ciliary cell;epidermal mucus secreting cell;dendritic epidermal T cell
305,epidermal cell,CL:0000362,Skin,,CL:0000362,epidermal cell,CL:0000463;CL:1000428;CL:0002457;CL:0007018;CL:0007019;CL:0000916,epidermal cell (sensu arthropoda);stem cell of epidermis;epidermal Langerhans cell;epidermal ciliary cell;epidermal mucus secreting cell;dendritic epidermal T cell
306,epidermal cell,CL:0002187,Skin,,CL:0000362,epidermal cell,CL:0000463;CL:1000428;CL:0002457;CL:0007018;CL:0007019;CL:0000916,epidermal cell (sensu arthropoda);stem cell of epidermis;epidermal Langerhans cell;epidermal ciliary cell;epidermal mucus secreting cell;dendritic epidermal T cell
307,epidermal cell,,Skin,,CL:0000362,epidermal cell,CL:0000463;CL:1000428;CL:0002457;CL:0007018;CL:0007019;CL:0000916,epidermal cell (sensu arthropoda);stem cell of epidermis;epidermal Langerhans cell;epidermal ciliary cell;epidermal mucus secreting cell;dendritic epidermal T cell
308,epidermal cell,CL:0002187,Skin,Basal IFE,CL:0000362,epidermal cell,CL:0000463;CL:1000428;CL:0002457;CL:0007018;CL:0007019;CL:0000916,epidermal cell (sensu arthropoda);stem cell of epidermis;epidermal Langerhans cell;epidermal ciliary cell;epidermal mucus secreting cell;dendritic epidermal T cell
309,epithelial cell,CL:0000236,SCAT,,CL:0000066,epithelial cell,CL:0002308;CL:1000450;CL:0002166;CL:1000405;CL:0002535;CL:0002293;CL:0000083;CL:1001433;CL:0002536,epithelial cell of skin gland;epithelial cell of glomerular capsule;epithelial cell of Malassez;epithelial cell of appendix;epithelial cell of cervix;epithelial cell of thymus;epithelial cell of pancreas;epithelial cell of exocrine pancreas;epithelial cell of amnion
310,epithelial cell,CL:0002570,MAT,,CL:0000066,epithelial cell,CL:0002308;CL:1000450;CL:0002166;CL:1000405;CL:0002535;CL:0002293;CL:0000083;CL:1001433;CL:0002536,epithelial cell of skin gland;epithelial cell of glomerular capsule;epithelial cell of Malassez;epithelial cell of appendix;epithelial cell of cervix;epithelial cell of thymus;epithelial cell of pancreas;epithelial cell of exocrine pancreas;epithelial cell of amnion
311,epithelial cell,,Aorta,,CL:0000066,epithelial cell,CL:0002308;CL:1000450;CL:0002166;CL:1000405;CL:0002535;CL:0002293;CL:0000083;CL:1001433;CL:0002536,epithelial cell of skin gland;epithelial cell of glomerular capsule;epithelial cell of Malassez;epithelial cell of appendix;epithelial cell of cervix;epithelial cell of thymus;epithelial cell of pancreas;epithelial cell of exocrine pancreas;epithelial cell of amnion
312,epithelial cell,CL:0000623,SCAT,,CL:0000066,epithelial cell,CL:0002308;CL:1000450;CL:0002166;CL:1000405;CL:0002535;CL:0002293;CL:0000083;CL:1001433;CL:0002536,epithelial cell of skin gland;epithelial cell of glomerular capsule;epithelial cell of Malassez;epithelial cell of appendix;epithelial cell of cervix;epithelial cell of thymus;epithelial cell of pancreas;epithelial cell of exocrine pancreas;epithelial cell of amnion
313,epithelial cell,,GAT,,CL:0000066,epithelial cell,CL:0002308;CL:1000450;CL:0002166;CL:1000405;CL:0002535;CL:0002293;CL:0000083;CL:1001433;CL:0002536,epithelial cell of skin gland;epithelial cell of glomerular capsule;epithelial cell of Malassez;epithelial cell of appendix;epithelial cell of cervix;epithelial cell of thymus;epithelial cell of pancreas;epithelial cell of exocrine pancreas;epithelial cell of amnion
314,epithelial cell,,BAT,,CL:0000066,epithelial cell,CL:0002308;CL:1000450;CL:0002166;CL:1000405;CL:0002535;CL:0002293;CL:0000083;CL:1001433;CL:0002536,epithelial cell of skin gland;epithelial cell of glomerular capsule;epithelial cell of Malassez;epithelial cell of appendix;epithelial cell of cervix;epithelial cell of thymus;epithelial cell of pancreas;epithelial cell of exocrine pancreas;epithelial cell of amnion
315,epithelial cell,,MAT,,CL:0000066,epithelial cell,CL:0002308;CL:1000450;CL:0002166;CL:1000405;CL:0002535;CL:0002293;CL:0000083;CL:1001433;CL:0002536,epithelial cell of skin gland;epithelial cell of glomerular capsule;epithelial cell of Malassez;epithelial cell of appendix;epithelial cell of cervix;epithelial cell of thymus;epithelial cell of pancreas;epithelial cell of exocrine pancreas;epithelial cell of amnion
316,epithelial cell,,SCAT,,CL:0000066,epithelial cell,CL:0002308;CL:1000450;CL:0002166;CL:1000405;CL:0002535;CL:0002293;CL:0000083;CL:1001433;CL:0002536,epithelial cell of skin gland;epithelial cell of glomerular capsule;epithelial cell of Malassez;epithelial cell of appendix;epithelial cell of cervix;epithelial cell of thymus;epithelial cell of pancreas;epithelial cell of exocrine pancreas;epithelial cell of amnion
317,epithelial cell,CL:0000763,MAT,,CL:0000066,epithelial cell,CL:0002308;CL:1000450;CL:0002166;CL:1000405;CL:0002535;CL:0002293;CL:0000083;CL:1001433;CL:0002536,epithelial cell of skin gland;epithelial cell of glomerular capsule;epithelial cell of Malassez;epithelial cell of appendix;epithelial cell of cervix;epithelial cell of thymus;epithelial cell of pancreas;epithelial cell of exocrine pancreas;epithelial cell of amnion
318,epithelial cell,CL:0000115,SCAT,,CL:0000066,epithelial cell,CL:0002308;CL:1000450;CL:0002166;CL:1000405;CL:0002535;CL:0002293;CL:0000083;CL:1001433;CL:0002536,epithelial cell of skin gland;epithelial cell of glomerular capsule;epithelial cell of Malassez;epithelial cell of appendix;epithelial cell of cervix;epithelial cell of thymus;epithelial cell of pancreas;epithelial cell of exocrine pancreas;epithelial cell of amnion
319,epithelial cell,CL:0000232,Aorta,,CL:0000066,epithelial cell,CL:0002308;CL:1000450;CL:0002166;CL:1000405;CL:0002535;CL:0002293;CL:0000083;CL:1001433;CL:0002536,epithelial cell of skin gland;epithelial cell of glomerular capsule;epithelial cell of Malassez;epithelial cell of appendix;epithelial cell of cervix;epithelial cell of thymus;epithelial cell of pancreas;epithelial cell of exocrine pancreas;epithelial cell of amnion
320,epithelial cell,,BAT,Epcam+,CL:0000066,epithelial cell,CL:0002308;CL:1000450;CL:0002166;CL:1000405;CL:0002535;CL:0002293;CL:0000083;CL:1001433;CL:0002536,epithelial cell of skin gland;epithelial cell of glomerular capsule;epithelial cell of Malassez;epithelial cell of appendix;epithelial cell of cervix;epithelial cell of thymus;epithelial cell of pancreas;epithelial cell of exocrine pancreas;epithelial cell of amnion
321,epithelial cell,CL:0000115,MAT,,CL:0000066,epithelial cell,CL:0002308;CL:1000450;CL:0002166;CL:1000405;CL:0002535;CL:0002293;CL:0000083;CL:1001433;CL:0002536,epithelial cell of skin gland;epithelial cell of glomerular capsule;epithelial cell of Malassez;epithelial cell of appendix;epithelial cell of cervix;epithelial cell of thymus;epithelial cell of pancreas;epithelial cell of exocrine pancreas;epithelial cell of amnion
322,epithelial cell of large intestine,CL:0002071,Large_Intestine,Lgr5- amplifying undifferentiated cell,CL:0002253,epithelial cell of large intestine,,
323,epithelial cell of large intestine,,Large_Intestine,Lgr5- amplifying undifferentiated cell,CL:0002253,epithelial cell of large intestine,,
324,epithelial cell of large intestine,CL:0000164,Large_Intestine,Lgr5- amplifying undifferentiated cell,CL:0002253,epithelial cell of large intestine,,
325,epithelial cell of large intestine,CL:0002253,Large_Intestine,Lgr5- amplifying undifferentiated cell,CL:0002253,epithelial cell of large intestine,,
326,epithelial cell of large intestine,CL:1000320,Large_Intestine,Lgr5- amplifying undifferentiated cell,CL:0002253,epithelial cell of large intestine,,
327,epithelial cell of proximal tubule,CL:0002306,Kidney,epithelial cell of proximal tubule,CL:0002306,epithelial cell of proximal tubule,,
328,epithelial cell of proximal tubule,,Kidney,epithelial cell of proximal tubule,CL:0002306,epithelial cell of proximal tubule,,
329,epithelial cell of thymus,CL:0002420,Thymus,TECs,CL:0002293,epithelial cell of thymus,CL:0002297;CL:0002299;CL:0002294;CL:0002296;CL:0002298;CL:0002295;CL:0002300,type-3 epithelial cell of thymus;type-2 epithelial cell of thymus;type-1 epithelial cell of thymus;type-4 epithelial cell of thymus;type-5 epithelial cell of thymus;type-6 epithelial cell of thymus;type-7 epithelial cell of thymus
330,epithelial cell of thymus,CL:0000738,Thymus,TECs,CL:0002293,epithelial cell of thymus,CL:0002297;CL:0002299;CL:0002294;CL:0002296;CL:0002298;CL:0002295;CL:0002300,type-3 epithelial cell of thymus;type-2 epithelial cell of thymus;type-1 epithelial cell of thymus;type-4 epithelial cell of thymus;type-5 epithelial cell of thymus;type-6 epithelial cell of thymus;type-7 epithelial cell of thymus
331,epithelial cell of thymus,,Thymus,TECs,CL:0002293,epithelial cell of thymus,CL:0002297;CL:0002299;CL:0002294;CL:0002296;CL:0002298;CL:0002295;CL:0002300,type-3 epithelial cell of thymus;type-2 epithelial cell of thymus;type-1 epithelial cell of thymus;type-4 epithelial cell of thymus;type-5 epithelial cell of thymus;type-6 epithelial cell of thymus;type-7 epithelial cell of thymus
332,fenestrated cell,,Kidney,fenestrated cell,CL:0000666,fenestrated cell,,
333,fenestrated cell,CL:0000115,Kidney,fenestrated cell,CL:0000666,fenestrated cell,,
334,fibroblast,CL:0000066,Trachea,,CL:0000057,fibroblast,CL:0002547;CL:0002548;CL:0002549;CL:0002554;CL:0002555;CL:0002556;CL:0002557;CL:0002550;CL:0002551,fibroblast of the aortic adventitia;fibroblast of cardiac tissue;fibroblast of choroid plexus;fibroblast of lymphatic vessel;fibroblast of mammary gland;fibroblast of periodontium;fibroblast of pulmonary artery;fibroblast of the conjunctiva;fibroblast of dermis
